Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	-			-	28	U+002D	HYPHEN-MINUS
	ˀ			ˀ	502	U+02C0	MODIFIER LETTER GLOTTAL STOP
	 			 	308	U+0020	SPACE
	(			(	3	U+0028	LEFT PARENTHESIS
	)			)	3	U+0029	RIGHT PARENTHESIS
	,			,	31	U+002C	COMMA
	:			:	165	U+003A	COLON
	;			;	114	U+003B	SEMICOLON
	?			?	12	U+003F	QUESTION MARK
	?̟			?̟	1	U+003F, U+031F	QUESTION MARK, COMBINING PLUS SIGN BELOW
	[			[	21	U+005B	LEFT SQUARE BRACKET
	]			]	21	U+005D	RIGHT SQUARE BRACKET
	ǃ			ǃ	2	U+01C3	LATIN LETTER RETROFLEX CLICK
	=			=	1	U+003D	EQUALS SIGN
	·			·	5	U+00B7	MIDDLE DOT
	²			²	3	U+00B2	SUPERSCRIPT TWO
	a			a	1489	U+0061	LATIN SMALL LETTER A
	á			á	21	U+0061, U+0301	LATIN SMALL LETTER A, COMBINING ACUTE ACCENT
	ã			ã	294	U+0061, U+0303	LATIN SMALL LETTER A, COMBINING TILDE
	ã			ã	7	U+00E3	LATIN SMALL LETTER A WITH TILDE
	ã́			ã́	9	U+0061, U+0303, U+0301	LATIN SMALL LETTER A, COMBINING TILDE, COMBINING ACUTE ACCENT
	b			b	224	U+0062	LATIN SMALL LETTER B
	c			c	20	U+0063	LATIN SMALL LETTER C
	ɔ			ɔ	5	U+0254	LATIN SMALL LETTER OPEN O
	d			d	297	U+0064	LATIN SMALL LETTER D
	e			e	459	U+0065	LATIN SMALL LETTER E
	é			é	23	U+0065, U+0301	LATIN SMALL LETTER E, COMBINING ACUTE ACCENT
	ẽ			ẽ	53	U+0065, U+0303	LATIN SMALL LETTER E, COMBINING TILDE
	ẽ			ẽ	1	U+1EBD	LATIN SMALL LETTER E WITH TILDE
	ẽ́			ẽ́	6	U+0065, U+0303, U+0301	LATIN SMALL LETTER E, COMBINING TILDE, COMBINING ACUTE ACCENT
	ə			ə	86	U+0259	LATIN SMALL LETTER SCHWA
	ə́			ə́	7	U+0259, U+0301	LATIN SMALL LETTER SCHWA, COMBINING ACUTE ACCENT
	ə̃			ə̃	24	U+0259, U+0303	LATIN SMALL LETTER SCHWA, COMBINING TILDE
	ə̃́			ə̃́	2	U+0259, U+0303, U+0301	LATIN SMALL LETTER SCHWA, COMBINING TILDE, COMBINING ACUTE ACCENT
	h			h	362	U+0068	LATIN SMALL LETTER H
	i			i	664	U+0069	LATIN SMALL LETTER I
	í			í	26	U+0069, U+0301	LATIN SMALL LETTER I, COMBINING ACUTE ACCENT
	ĩ			ĩ	156	U+0069, U+0303	LATIN SMALL LETTER I, COMBINING TILDE
	ĩ			ĩ	2	U+0129	LATIN SMALL LETTER I WITH TILDE
	ĩ́			ĩ́	10	U+0069, U+0303, U+0301	LATIN SMALL LETTER I, COMBINING TILDE, COMBINING ACUTE ACCENT
	j			j	9	U+006A	LATIN SMALL LETTER J
	k			k	932	U+006B	LATIN SMALL LETTER K
	k̃			k̃	1	U+006B, U+0303	LATIN SMALL LETTER K, COMBINING TILDE
	l			l	13	U+006C	LATIN SMALL LETTER L
	m			m	96	U+006D	LATIN SMALL LETTER M
	n			n	202	U+006E	LATIN SMALL LETTER N
	N			N	1	U+004E	LATIN CAPITAL LETTER N
	ñ			ñ	14	U+006E, U+0303	LATIN SMALL LETTER N, COMBINING TILDE
	o			o	460	U+006F	LATIN SMALL LETTER O
	ó			ó	6	U+006F, U+0301	LATIN SMALL LETTER O, COMBINING ACUTE ACCENT
	õ			õ	177	U+006F, U+0303	LATIN SMALL LETTER O, COMBINING TILDE
	ṍ			ṍ	5	U+006F, U+0303, U+0301	LATIN SMALL LETTER O, COMBINING TILDE, COMBINING ACUTE ACCENT
	o̟̟			o̟̟	1	U+006F, U+031F, U+031F	LATIN SMALL LETTER O, COMBINING PLUS SIGN BELOW, COMBINING PLUS SIGN BELOW
	p			p	311	U+0070	LATIN SMALL LETTER P
	P			P	1	U+0050	LATIN CAPITAL LETTER P
	r			r	127	U+0072	LATIN SMALL LETTER R
	s			s	2	U+0073	LATIN SMALL LETTER S
	t			t	40	U+0074	LATIN SMALL LETTER T
	u			u	313	U+0075	LATIN SMALL LETTER U
	U			U	1	U+0055	LATIN CAPITAL LETTER U
	ú			ú	26	U+0075, U+0301	LATIN SMALL LETTER U, COMBINING ACUTE ACCENT
	ũ			ũ	133	U+0075, U+0303	LATIN SMALL LETTER U, COMBINING TILDE
	ṹ			ṹ	17	U+0075, U+0303, U+0301	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING ACUTE ACCENT
	v			v	1	U+0076	LATIN SMALL LETTER V
	w			w	1	U+0077	LATIN SMALL LETTER W
	x			x	63	U+0078	LATIN SMALL LETTER X
	y			y	28	U+0079	LATIN SMALL LETTER Y
	Y			Y	1	U+0059	LATIN CAPITAL LETTER Y
	z			z	2	U+007A	LATIN SMALL LETTER Z
